id;titulo;autor;totalExemplares;exemplaresDisponiveis
291;FORMULAÇĂO E RESOLUÇĂO DE PROBLEMAS DE MATEMÁTICA: Teoria e prática;DANTE, Luiz Roberto;1;1
292;JOGOS DE MATEMÁTICA DE 6o. A 9o. ANO;SMOLE, Kátia Stocco, DINIZ, Maria Ignez e MILANI, Estela;1;1
293;JOGOS E MODELAGEM NA EDUCAÇĂO MATEMÁTICA;RIBEIRO, Flávia Dias;1;1
294;ATIVIDADE SOCIAL NAS AULAS DE LÍNGUA ESTRANGEIRA;LIBERALI, Fernanda Coelho;1;1
295;LEITURA NAS SÉRIES INICIAIS: uma proposta para formaçăo de leitores de literatura;BALDI, Elizabeth;1;1
296;PRÁTICA DE ENSINO EM EDUCAÇĂO FÍSICA: a criança em movimento;GALLARDO, Jorge Sergio Pérez;1;1
297;AVENTURA DO TEATRO & COMO FAZER TEATRINHO DE BONECOS;MACHADO, Maria Clara;1;1
298;HISTÓRIA NA SALA DE AULA: conceitos, práticas e propostas;KARNAL, Leandro (org.);1;1
299;HISTÓRIA E CINEMA: EDUCAÇĂO PARA AS MÍDIAS;MOCELLIN, Renato;1;1
300;APRENDENDO HISTÓRIA: REFLEX ĂO E ENSINO;FERREIRA, Marieta de Moraes e FRANCO, Renato;1;1
301;AULA DE Língua Portuguesa: ENCONTRO E INTERAÇĂO;ANTUNES, Irandé;1;1
302;GRAMÁTICA E INTERAÇĂO: uma proposta para o ensino de gramática;TRAVAGLIA, Luiz Carlos;1;1
303;EDUCAÇĂO DE CORPO INTEIRO: TEORIA E PRÁTICA DA EDUCAÇĂO FÍSICA;FREIRE, Joăo Batista;1;1
304;EDUCAÇĂO COMO PRÁTICA CORPORAL;FREIRE, Joăo Batista e SCAGLIA, Alcides José;1;1
306;TEORIA E PRÁTICA EM CIĘNCIAS NA ESCOLA: O ENSINO-APRENDIZAGEM COMO INVESTIGAÇĂO;CAMPOS, Maria Cristina e NIGRO,;1;1
307;EDUCAÇĂO SONORA: 100 exercícios de escuta e criaçăo de sons;SCHAFER, R. Murray;1;1
308;PEDAGOGIA DA MÚSICA: experięncias de apreciaçăo musical;BEYER, Esther e KEBACH, Patrícia;1;1
309;MANUAL OXFORD DE INTRODUÇĂO AO ENSINO DE LÍNGUA INGLESA;HADFIELD, Jill E HADFIELD, Charles;1;1
310;MALUNGOS NA ESCOLA: questőes sobre culturas afrodescentes e ducaçăo;PEREIRA, Edmilson de Almeida;1;1
311;GRANDE HISTÓRIA DE ALEXANDRE;MANFREDI, Valerio Massimo;1;1
312;PARA PEGAR BAGRE DE DIA, É PRECISO SUJAR A ÁGUA: histórias de pescaria;PIROLI, Wander;1;1
313;MARIETA TEM UM DILEMA;MURRAY, Martine;1;1
314;GATO MALHADO E ANDORINHA SINHÁ;AMADO, Jorge;1;1
315;COM O PÉ NA ESTRADA;VENEZA, Maurício;1;1
316;POESIA NOSSA DE CADA DIA;RIOS, Rosana;1;1
317;NOEL;CRUZ, Nelson;1;1
318;MOÇO DO CORREIO E A MOÇA DA CASA DE TIJOLINHO, O;AZEVEDO, Ricardo;1;1
319;DEU NO JORNAL;SCLIAR, Moacyr;1;1
320;PRINCESA VAMPIRA: lenda espanhola, A;RIBEIRO, Jonas;1;1
321;DOM, O;MORGENSTERN, Susie;1;1
322;REI DO MANACÁ, O;MOURA, André e ABREU, Alę;1;1
323;DONA FEIA;OLIVEIRA, Anderson e LARA, Walter;1;1
324;MENINO QUE DESEJAVA SE TORNAR UM SER HUMANO;RIEL, Jorn;1;1
325;CRIANÇAS DO BRASIL: suas histórias, seus brinquedos, seus sonhos;SANTOS, José;1;1
326;CONTADOR DE HISTÓRIAS;SAKI;1;1
327;TOALHA VERMELHA, A;VILELA, Fernando;1;1
328;DIOMIRA E O CORONEL CARRERĂO: A Sherazade do Sertăo;LEITE, Ivana Arruda;1;1
329;PALAVRAS MÁGICAS;RIOS, Rosana;1;1
330;AVENTURAS EXTRAORDINÁRIAS DE JÚLIO: Júlio Verne, AS;LEITE, Márcia;1;1
331;OUVINDO PEDRAS: ALEIJADINHO;DILL, Luís;1;1
332;MESTRE LISBOA: O ALEIJADINHO;CRUZ, Nelson;1;1
333;PRÍNCIPE TRISTE: d. Pedro II, a história de um menino solitário feito imperador aos 14 anos, O;OLIVEIRA, Rui de;1;1
334;MENINA E O VENTO E OUTRAS PEÇAS, A;MACHADO, Maria Clara;1;1
335;BRUXINHA QUE ERA BOA E OUTRAS PEÇAS, A;MACHADO, Maria Clara;1;1
336;CAVALINHO AZUL E OUTRAS PEÇAS, O;MACHADO, Maria Clara;1;1
337;MONTE VERITÁ;BERNARDO, Gustavo;1;1
338;TIQUE-TAQUE NERVOSO;ZATZ, Lia;1;1
339;LENDA DO CAVALEIRO SEM CABEÇA E RIP VAN WINKLE, A;IRVING, Washington;1;1
340;DO SEU CORAÇĂO PARTIDO;COLASANTI, Marina;1;1
341;MUNDO DE BUSTER, O;REUTER, BJARNE;1;1
342;BARBEIRO E O JUDEU DA PRESTAÇĂO CONTRA O SARGENTO DA MOTOCICLETA, O;SANTOS, Joel Rufino dos;1;1
343;BEIJO NA BOCA;JAF, Ivan;1;1
344;REI QUE VIROU LENDA, O;RODRIGUES, Cláudio;1;1
345;MEGERA DOMADA, A;SHAKESPEARE, William;1;1
346;NAVIO DAS CORES - LASAR SEGALL;SCLIAR, Moacyr;1;1
347;BERNARDO E A PRINCESA DE CRISTAL;REIS, Flávia;1;1
348;MISTÉRIO DO FUNDO DO POTE, O;KRUGLI, Ilo;1;1
349;GAUGUIN E AS CORES DOS TRÓPICOS;CAPATTI, Bérénice e ADAMI, Eva;1;1
350;MELHORES CONTOS;MACHADO DE ASSIS, Joaquim M.;1;1
351;RAINHA MARGOT, A;DUMAS, Alexandre;3;3
