id;titulo;autor;totalExemplares;exemplaresDisponiveis
790;MISTÉRIO DO SELO MILIONÁRIO, O;SIERRA I FABRA, Jordi;1;1
791;MISTÉRIO DO GOYA ROUBADO, O;SIERRA I FABRA, Jordi;1;1
792;MISTÉRIO DA ESTRELA, O;GAIMAN, NEIL;1;1
793;MELHORES CONTOS BRASILEIROS DE FICÇĂO CIENTÍFICA, OS;CAUSO, Roberto de Sousa;1;1
794;SEGREDO DA CASA AMARELA, O;NICOLELIS, Giselda Laporta;1;1
795;QUEM ROUBOU O MEU FUTURO?;ORTHOF, Sylvia;1;1
796;RAPAZ QUE NĂO ERA DE LIVERPOOL;RITER, Caio;1;1
797;DEZ MAIS: HISTÓRIAS DE FANTASMAS;COX, Michael;1;1
798;CELULAR: 13 HISTÓRIAS Ŕ MANEIRA ANTIGA;SCHULZE, Ingo;1;1
799;IOLANDA, A FILHA DO CORSÁRIO NEGRO;SALGARI, Emilio;1;1
800;GUIA DOS CURIOSOS - ESPORTES;DUARTE, Marcelo;1;1
801;GUIA DOS CURIOSOS - LÍNGUA PORTUGUESA;DUARTE, Marcelo;1;1
802;HOMEM QUE CALCULAVA, O;TAHAN, Malba (Souza, Júlio César de Melo e);1;1
803;MÁRIO DE ANDRADE: Seus contos preferidos;RUFFATO, Luiz;20;20
804;SERÁ O BENEDITO !;ANDRADE, Mário;4;4
805;FRANS KRAJCBERG: A OBRA QUE NĂO QUEREMOS VER (Com caderno-atelię);SANT´ANNA, Renata e PRATES, Valquíria;20;20
806;MELHORES CONTOS;MACHADO DE ASSIS, Joaquim M.;20;20
807;ESPINHO DE MARFIM E OUTRAS HISTÓRIAS, UM;COLASANTI, Marina;20;20
808;JOGO DA PARLENDA, O;PRIETO, Heloisa;20;20
809;CARTA ROUBADA, A;POE, Edgar Allan;20;20
810;TAYA E O ESPELHO DA BABA YAGA;SOMBRA, Fábio;20;20
811;CONTANDO CAUSOS;BOLDIN, Rolando;20;20
812;MIGALHAS DE JOSÉ DE ALENCAR;MATOS, Miguel;1;1
813;MIGALHAS DE EÇA DE QUEIRÓS;MATOS, Miguel;1;1
814;MIGALHAS DE RUI BARBOSA;MATOS, Miguel;1;1
815;MIGALHAS DE ALUÍSIO AZEVEDO;MATTOS,Maria Augusta Bastos de;1;1
816;NOVOS RUMOS DA CARTOGRAFIA ESCOLAR;ALMEIDA, Rosângela Doin de;1;1
817;ATUALIDADES DA EDUCAÇĂO BILÍNGUE PARA SURDOS: Processos e projetos pedagógicos;SKLIAR, Carlos;1;1
818;CATADORES DA CULTURA VISUAL :Proposta para uma nova narrativa educacional;HERNÁNDEZ, Fernando;1;1
819;ANDAR ENTRE LIVROS: A leitura literária na escola;COLOMER, Teresa;1;1
820;HISTÓRIA DA LEITURA, UMA;MANGUEL, Alberto;1;1
821;HISTÓRIAS E CAUSOS;VILLAS BÔAS, Orlando;1;1
822;ATUALIDADES DA EDUCAÇĂO BILÍNGUE PARA SURDOS: Interfaces entre pedagogia e linguítica;SKLIAR, Carlos;2;2
823;MIGALHAS DE EUCLIDES DA CUNHA;MATOS, Miguel;1;1
824;ENSINO DE GEOGRAFIA: PRÁTICAS E TEXTUALIZAÇŐES NO COTIDIANO;CASTROGIOVANNI, Antonio Carlos (org.);1;1
825;AVALIAR: RESPEITAR PRIMEIRO, EDUCAR DEPOIS;HOFFMANN, Jussara;1;1
826;ENSINO DE CIĘNCIAS;TRIVELATO, Sílvia Frateshi e FERREIRA SILVA, Rosana Louro;1;1
827;PARA LER O LIVRO ILUSTRADO;LINDEN, Sophie Van der;1;1
828;INTÉRPRETE DE LIBRAS EM ATUAÇĂO NA EDUCAÇĂO INFANTIL E NO ENSINO FUNDAMENTAL;LACERDA, Cristina B. F. de;1;1
829;DICIONÁRIO ILUSTRADO DE MEIO AMBIENTE;NARVAES, Patrícia;1;1
830;TEORIA E PRÁTICA EM CIĘNCIAS NA ESCOLA: O ENSINO-APRENDIZAGEM COMO INVESTIGAÇĂO;CAMPOS, Maria Cristina e NIGRO,;1;1
831;CIĘNCIAS: FÁCIL OU DIFÍCIL?;BIZZO, Nélio;2;2
832;TEORIA E PRÁTICA DO ENSINO DE GEOGRAFIA: MEMÓRIAS DA TERRA;FILIZOLA, Roberto e KOZEL, Salete;1;1
833;LETRAMENTO E MINORIAS;LODI, Ana Cláudia B. et al (org.);1;1
834;SURDEZ E BILINGUISMO;FERNANDES, Eulália;2;2
835;SURDOS E INCLUSĂO EDUCACIONAL;ALBRES, Neiva de Aquino;2;2
836;MÚSICA AFRICANA NA SALA DE AULA;SODRÉ, Lilian Abreu;1;1
837;TATUAGEM, PIERCING E OUTRAS MENSAGENS;ARAÚJO, Leusa;1;1
838;POETA QUE FINGIA, O;GOMES, Álvaro Cardoso;1;1
839;ARTE EM DETALHES;CUMMING, Robert;2;2
840;ENSINO DE FÍSICA;CARVALHO, Anna Maria Pessoa de;1;1
841;PELEJA, A;MACHADO, Ana Maria;1;1
842;ESCOLA, DIAS LÍNGUAS: LETRAMENTO EM LÍNGUA PORTUGUESA E LÍNGUA DE SINAIS NAS ETAPAS INICIAIS DE ESCOLARIZAÇĂO, UM;LODI, Ana Cláudia B. et al (org.);1;1
843;DANÇANDO NA ESCOLA;MARQUES, Isabel A.;1;1
844;CIBERCULTURA;LÉVY, Pierre;1;1
845;PAIS E EDUCADORES: QUEM TEM TEMPO DE EDUCAR?;PAROLIN, Isabel;2;2
846;SILECIOSA ALGAZARRA: Reflexőes sobre livros e práticas de leitura;MACHADO, Ana Maria;1;1
847;DICIONÁRIO DE GĘNEROS TEXTUAIS;COSTA, Sérgio Roberto;1;1
848;ARTE DE LER: ou como resistir ŕ adversidade, A;PETIT, Michčle;1;1
849;MACHADO DE ASSIS POR DENTRO;KUJAWSKI, Gilberto de Mello;1;1
851;ALCOOLISMO, O;LARANJEIRA, Ronaldo e PINSKY, Ilana;1;1
852;CIDADE E AS SERRAS, A;QUEIROS, Eça de;1;1
853;MELHORES CRÔNICAS: Cecília Meireles;MEIRELES, Cecília;1;1
854;ILUSŐES PERDIDAS;BALSAC, Honoré;1;1
855;RAINHA MARGOT, A;ALEXANDRE, Dumas;1;1
856;50 CRÔNICAS ESCOLHIDAS;BRAGA, Rubem;1;1
857;MENINOS DA RUA PAULO, OS;MOLNÁR, Ferenc;2;2
858;GERRA E PAZ;TOLSTÓI, Liev;1;1
859;GERMINAL;ZOLA, Émile;1;1
860;ÁRVORE DOS DESEJOS, A;FAULKNER, William;1;1
861;SOCIEDADE LITERÁRIA EA TORTA DE CASCA  DE BATATA;SHAFFER, Mary Ann;1;1
862;RUBEM ALVES DO UNIVERSO Ŕ JABUTICABA;ALVES, Rubem;1;1
863;MENINA QUE NĂO SABIA LER, A;HARDING, John;1;1
864;MENINA QUE ROUBAVA LIVROS, A;ZUZAK, Markus;1;1
865;FÚRIA DOS REIS, A AS CRÔNICAS DE GELO E FOGO LIVRO DOIS;MARTIN, George R. R;1;1
866;INFÂMIA;MACHADO, Ana Maria;2;2
867;LEITE DERRAMADO;BUARQUE, Chico;1;1
868;MEMORIAL DO CONVENTO;SARAMAGO, José;1;1
869;OLHAI OS LÍRIOS DO CAMPO;VERISSÍMO, Erico;1;1
870;CRÔNICAS INÉDITAS 1;BANDEIRA, Manuel;1;1
871;CRÔNICAS INÉDITAS 2;BANDEIRA, Manuel;1;1
872;V. WOOF CONTOS COMPLETOS;WOOF, Virginia;1;1
873;BOLERO DE RAVEL;BRAFF, Menalton;1;1
874;CASA DOS ESPIRITOS, A;ALLENDE, Isabel;1;1
875;EXISTEM CROCODILOS NO MAR;GEDA, Fabio;1;1
876;CLARICE NA CABECEIRA;LISPECTOR, Clarice;1;1
877;JANELA DE ESQUINA DO MEU PRIMO, A;HOFFMANN, E.T.A.;1;1
878;PADRE SÉRGIO;TOLSTÓI, Liev;1;1
879;NENHUM E CEM MIL, UM;LUIGI, Pirandello;1;1
880;GAROTO NO CONVÉS, O;BOYNE, John;1;1
881;ADOLESCENTE, O;DOSTOIÉVSKI, Fiódor;1;1
882;CLARICE, UMA BIOGRAFIA:Benjamin Moser;MOSER, Benjamin;1;1
884;PALAVRA DE FILHO;RIBEIRO, Jonas;1;1
885;QUE TIROU O SONO DOS ANIMAIS ? , O;RINCK, Maranke;1;1
886;PARA QUE SERVE UM LIVRO;LEGEAY, Chloé;1;1
887;LENDAS E MITOS DOS ÍNDIOS BRASILEIROS;SILVA, Walde - Mar de Andrade e;1;1
888;SÉTIMA NOITE DE VERĂO, A;TOKITAKA, Janaína;1;1
889;CONTOS DA TIA LENITA;ALVIM, Maria Helena;1;1
890;AVENTURAS DE PINÓQUIO, AS;COLLODI, Carlo;1;1
891;AVENTURAS DA DONA FRIZ EGITO ANTIGO;COLE, Joanna;1;1
892;OBAX;NEVES, André;1;1
893;MULHER GIGANTE DA CASA 88, A;KOCKERE, Geert De;2;2
894;AVENTURAS DO MENINO KAWĂ;YAGUAKĂG, Elias;1;1
895;VICENTE O POMBO CORREIO QUE VIROU TURISTA;MARIA, Luzia De;1;1
896;JOĂO DE BARRO, O;MATOS, Neide Simăo de;1;1
897;EU VI !;RIBEIRO, Jonas;1;1
898;FOLCLORE MITOS E LENDAS DO FOLCLORE BRASILEIRO;IOMONACO, Marco Aurélio;1;1
899;EXPEDIÇĂO DOS ARGONAUTAS, A;GALDINO, Luiz;1;1
900;ORUKOMI ( meu nome);RIBEIRO, Esmeraldas;1;1
901;LENDAS NEGRAS;BRAZ, Júlio Emílio;1;1
902;CONTOS DE MORTE MORRIDA;SSÓ, Ernani;1;1
903;SENHOR DAS HISTÓRIAS, O;SRBREK, Wellington;1;1
904;FILHOS DA MATA;MERCADANTE, Hilton;1;1
905;HISTÓRIAS DE QUEM CONTA HISTÓRIAS;GOMES, Lenice e MORAES, Fabiano;1;1
906;INVENÇĂO DO MUNDO PELO DEUS- CURUMIM;TAVARES, Bráulio;1;1
907;HISTÓRIAS DA PRETA;LIMA, Heloísa Pires;1;1
908;CONTOS DE GIGANTES;SSÓ, Ernani;1;1
909;CIDADES EM TEMPOS MODERNOS;SALVADOR, Maria Angela Borges;20;20
910;PRIMEIROS HABITANTES DO BRASIL, OS;GUARINELLO, Norberto Luiz;1;1
911;MENINO BRINCA DE BONECA ?;RIBEIRO, Marcos;1;1
912;QUARUP;CALLADO, Antonio;1;1
913;VIDAS SECAS;RAMOS, Graciliano;1;1
914;CIRANDA DE PEDRA;TELLES, Lygia Fagundes;1;1
915;VISĂO DO PARAÍSO;HOLANDA, Sérgio Buarque de;1;1
916;FIRIRIM FINFIM;LISBOA, Elizete;5;5
917;VOLTA AO MUNDO EM 80 HISTÓRIAS;RIOS, Rosana;1;1
918;GARFIELD 2582 TIRAS;DAVIS, Jim;1;1
919;SOFIA E OUTROS CONTOS;VILELA, Luiz;1;1
920;TROCA-TROCA;LEITE, Alice Ribeiro;1;1
921;TRĘS FÁBULAS DO ORIENTE;PACHECO, Bruno;1;1
922;ESTÓRIAS DA MITOLOGIA Os Deuses ,Menos o Pai;FILHO, Domício Proença;1;1
923;CONTOS AFRICANOS;MHLOPHE, Gcina;1;1
924;DIA DE CHUVA, UM;QUEIROS, Eça de;1;1
925;REI DO MAR,   O;SALGARI, Emilio;1;1
926;MENINO TRANSPARENTE, O;SECCO, Patricia Engel;1;1
927;MEMÓRIAS DE UM CORSÁRIO;PRIETO, Heloisa;1;1
928;CARTAS DE UM CAÇADOR;QUIROGA, Horácio;1;1
929;REI DO GRANDE RIO, O;BANDEIRA, Pedro;1;1
930;OMO-OBA  HISTÓRIAS DE PRINCESAS;OLIVEIRA, Kiusam de;1;1
931;MENINOS QUE SE TORNARAM ESTRELAS, OS;DONATO, Hernâni;1;1
932;NASCIMENTO DE ZEUS, O;DUARTE, Adriane;1;1
933;HOMEM GRAVIDADE ZERO;SLEZYNGER, Leo;2;2
934;FANTÁTICA VIAGEM DO PEQUENO CIDADĂO, A;ALVES, Januário;1;1
955;O pequeno principe;Antoine de Saint-Exupéry;2;2
1000;Memoria Postumas de Bras Cubas;Machado de Assis;2;2
